"id","metric","name","description"
"page_fans_lifetime","insights/page_fans/lifetime","総ファン数","通算 これまでにページを「いいね！」した人の総数です。(ユニークユーザー数)"
"page_fan_adds_unique_day","insights/page_fan_adds_unique/day","日別ファン増加数","1日 ページに新しくいいね！した人の数です。(ユニークユーザー数)"
"page_fan_removes_unique_day","insights/page_fan_removes_unique/day","日別ファン離脱数","1日 Facebookページのいいね！を取り消した数(ユニークユーザー数)"
"page_engaged_users_day","insights/page_engaged_users/day","エンゲージユーザー数/日（ページ）","1日 Facebookページに何らかのアクションを実行したユーザーの数。アクションにはクリックや記事の作成が含まれます。(ユニークユーザー数)"
"page_engaged_users_week","insights/page_engaged_users/week","エンゲージユーザー数/週（ページ）","週間 Facebookページに何らかのアクションを実行したユーザーの数。アクションにはクリックや記事の作成が含まれます。(ユニークユーザー数)"
"page_engaged_users_days_28","insights/page_engaged_users/days_28","エンゲージユーザー数/28日（ページ）","28日間 Facebookページに何らかのアクションを実行したユーザーの数。アクションにはクリックや記事の作成が含まれます。(ユニークユーザー数)"
"page_consumptions_unique_day","insights/page_consumptions_unique/day","クリックユーザー数/日","1日 何らかのコンテンツをクリックした人数です。記事を作成したクリックは「その他のクリック」に含まれます。ページのコンテンツ(例: タイムラインからの「いいね！」)をクリックすることなく作成された記事は含まれません。(ユニークユーザー数)"
"page_consumptions_unique_week","insights/page_consumptions_unique/week","クリックユーザー数/週","週間 何らかのコンテンツをクリックした人数です。記事を作成したクリックは「その他のクリック」に含まれます。ページのコンテンツ(例: タイムラインからの「いいね！」)をクリックすることなく作成された記事は含まれません。(ユニークユーザー数)"
"page_consumptions_unique_days_28","insights/page_consumptions_unique/days_28","クリックユーザー数/月","28日間 何らかのコンテンツをクリックした人数です。記事を作成したクリックは「その他のクリック」に含まれます。ページのコンテンツ(例: タイムラインからの「いいね！」)をクリックすることなく作成された記事は含まれません。(ユニークユーザー数)"
"page_negative_feedback_unique_week","insights/page_negative_feedback_unique/week","ネガティブフィードバックユーザー数/週","週間 あなたのFacebookページを報告している人の数。(ユニークユーザー数)"
"page_negative_feedback_by_type_unique_week_hide_all_clicks","insights/page_negative_feedback_by_type_unique/week","ネガティブフィードバック数(hide all)","週間 このページに否定的な反応をした人の数をタイプ別に示したものです。(ユニークユーザー数) - hide_all_clicks"
